reaction	value	status
PPND	0.0	optimal
PPNDH	0.0	optimal
PPPGO	0.9219481	optimal
PPPNDO	0.9219481	optimal
PPPNt2r	0.9219481	optimal
PPS	0.9219481	optimal
PPTGS	0.0	optimal
PRAGSr	0.0	optimal
PRAIS	0.0	optimal
PRAIi	0.0	optimal
PRAMPC	0.0	optimal
PRASCSi	0.0	optimal
PRATPP	0.0	optimal
PRFGS	0.0	optimal
PRMICI	0.0	optimal
PROD2	0.9219481	optimal
PROabc	0.9219481	optimal
PROt2r	0.9219481	optimal
PROt4	0.9219481	optimal
PRPPS	0.0	optimal
PSCVT	0.0	optimal
PSD_EC	0.0	optimal
PSERT	0.0	optimal
PSP_L	0.0	optimal
PSSA_EC	0.0	optimal
PTA2	0.9219481	optimal
PTAr	0.91896549	optimal
PTPATi	0.0	optimal
PTRCORNt7	0.9219481	optimal
PTRCTA	0.9219481	optimal
PTRCabc	0.9219481	optimal
PTRCt2	0.9219481	optimal
PUNP1	0.92191826	optimal
PUNP2	0.9219481	optimal
PUNP3	0.9219481	optimal
PUNP4	0.9219481	optimal
PUNP5	0.9219481	optimal
PUNP6	0.9219481	optimal
PUNP7	0.9219481	optimal
PYAM5PO	0.9219481	optimal
PYDAMK	0.9219481	optimal
PYDXK	0.9219481	optimal
PYDXNK	0.9219481	optimal
PYDXPP	0.9219481	optimal
PYK	0.9219481	optimal
PYNP2r	0.9219481	optimal
PYRt2	0.9219481	optimal
QULNS_1	0.0	optimal
RBFK	0.0	optimal
RBFSa	0.0	optimal
RBFSb	0.0	optimal
RBK	0.9219481	optimal
RBK_L1	0.9219481	optimal
RBP4E	0.9219481	optimal
RHCCE	0.9219481	optimal
RIBabc	0.9219481	optimal
RMI	0.9219481	optimal
RMK	0.9219481	optimal
RMNt	0.9219481	optimal
RMPA	0.9219481	optimal
RNDR1	0.9219481	optimal
RNDR2	0.9219481	optimal
RNDR3	0.9219481	optimal
RNDR4	0.9219481	optimal
RNTR1	0.9219481	optimal
RNTR2	0.9219481	optimal
RNTR3	0.9219481	optimal
RNTR4	0.9219481	optimal
RPE	0.90849597	optimal
RPI	0.0	optimal
RZ5PP	0.9219481	optimal
S7PI	0.0	optimal
SADH	0.9219481	optimal
SADT2	0.0	optimal
SBTPD	0.9219481	optimal
SBTpts	0.9219481	optimal
SDPDS	0.0	optimal
SDPTA	0.0	optimal
SELNPS	0.9219481	optimal
SERASr	0.9219481	optimal
SERAT	0.0	optimal
SERD_D	0.9219481	optimal
SERD_L	0.9219481	optimal
SERt2r	0.9219481	optimal
SERt4	0.9219481	optimal
SGDS	0.9219481	optimal
SGSAD	0.9219481	optimal
SHCHCS2	0.9219481	optimal
SHCHD2	0.9219481	optimal
SHCHF	0.9219481	optimal
SHK3Dr	0.0	optimal
SHKK	0.0	optimal
SHSL1	0.0	optimal
SOTA	0.9219481	optimal
SPMDAT1	0.9219481	optimal
SPMDAT2	0.9219481	optimal
SPMDabc	0.9219481	optimal
SPMS	0.0	optimal
SPODM	0.9219481	optimal
SSALx	0.9219481	optimal
SSALy	0.9219481	optimal
SUCBZL	0.9219481	optimal
SUCBZS	0.9219481	optimal
SUCCabc	0.9219481	optimal
SUCCt2_2	0.9219481	optimal
SUCCt2_3	0.9219481	optimal
SUCCt2r	0.9219481	optimal
SUCD1	0.87330158	optimal
SUCD4	0.87330158	optimal
SUCFUMt	0.9219481	optimal
SUCOAS	0.91045032	optimal
SUCpts	0.9219481	optimal
SULR	0.0	optimal
SULabc	0.0	optimal
TAGURr	0.9219481	optimal
TALA	0.90613289	optimal
TARTD	0.9219481	optimal
TARTRt7	0.9219481	optimal
TAUDO	0.9219481	optimal
TAURabc	0.9219481	optimal
TDPADGAT	0.9219481	optimal
TDPAGTA	0.9219481	optimal
TDPDRE	0.9219481	optimal
TDPDRR	0.9219481	optimal
TDPGDH	0.9219481	optimal
TDSK	0.0	optimal
TGBPA	0.9219481	optimal
THD2	0.9219481	optimal
THDPS	0.0	optimal
THMDt2_copy1	0.9219481	optimal
THMDt2_copy2	0.9219481	optimal
THMabc	0.9219481	optimal
THRA	0.92073811	optimal
THRD	0.9219481	optimal
THRD_L	0.0	optimal
THRS	0.9219481	optimal
THRabc	0.9219481	optimal
THRt2r	0.9219481	optimal
THRt4	0.9219481	optimal
THZPSN	0.9219481	optimal
TKT1	0.90582509	optimal
TKT2	0.91118264	optimal
TMAOR1	0.9219481	optimal
TMAOR1e	0.9219481	optimal
TMAOR2	0.9219481	optimal
TMAOR2e	0.9219481	optimal
TMDK1	0.9219481	optimal
TMDPP	0.9219481	optimal
TMDS	0.0	optimal
TMK	0.9219481	optimal
TMPK	0.9219481	optimal
TMPPP	0.9219481	optimal
TPI	0.8445865	optimal
TRDR	0.0	optimal
TRE6PH	0.9219481	optimal
TRE6PP	0.9219481	optimal
TRE6PS	0.9219481	optimal
TREH	0.9219481	optimal
TREHe	0.9219481	optimal
TREpts	0.9219481	optimal
TRPAS2	0.9216662	optimal
TRPS1	0.9219481	optimal
TRPS2	0.9219481	optimal
TRPS3	0.9216662	optimal
TRPt2r	0.9219481	optimal
TRSARr	0.9219481	optimal
TSULabc	0.9219481	optimal
TTDCAt2	0.9219481	optimal
TYRTA	0.0	optimal
TYRt2r	0.9219481	optimal
U23GAAT	0.0	optimal
UAAGDS	0.0	optimal
UACMAMO	0.9219481	optimal
UAG2E	0.9219481	optimal
UAGAAT	0.0	optimal
UAGCVT	0.0	optimal
UAGDP	0.0	optimal
UAGPT3	0.0	optimal
UAMAGS	0.0	optimal
UAMAS	0.0	optimal
UAPGR	0.0	optimal
UDCPDP	0.0	optimal
UDCPDPS	0.9219481	optimal
UDPG4E	0.9219481	optimal
UDPGALM	0.9219481	optimal
UDPGD	0.9219481	optimal
UGLT	0.9219481	optimal
UGLYCH	0.9219481	optimal
UGMDDS	0.0	optimal
UHGADA	0.0	optimal
UMPK	0.0	optimal
UNK3	0.0	optimal
UPP3MT	0.9219481	optimal
UPP3S	0.9219481	optimal
UPPDC1	0.9219481	optimal
UPPRT	0.9219481	optimal
URAt2_copy1	0.9219481	optimal
URAt2_copy2	0.9219481	optimal
UREAt	0.9219481	optimal
URIDK2r	0.92173756	optimal
URIK2	0.9219481	optimal
URIt2_copy1	0.9219481	optimal
URIt2_copy2	0.9219481	optimal
USHD	0.0	optimal
VALTA	0.9219481	optimal
VALabc	0.9219481	optimal
VALt2r	0.9219481	optimal
VPAMTr	0.9219481	optimal
X5PL3E	0.9219481	optimal
XANt	0.9219481	optimal
XANt2	0.9219481	optimal
XPPT	0.9219481	optimal
XTSNt2	0.9219481	optimal
XYLI1	0.9219481	optimal
XYLI2	0.9219481	optimal
XYLK	0.9219481	optimal
XYLabc	0.9219481	optimal
XYLt2	0.9219481	optimal
